algorithm,corpus,length,mean,std
BMH,dante,8,108135.0,17213.43
BMH,dante,16,64714.2,5682.02
BMH,dante,32,42013.7,5245.91
BMH,dante,64,29490.3,2470.17
BMH,gutenberg,8,134346.6,11674.53
BMH,gutenberg,16,83570.05,8750.48
BMH,gutenberg,32,60750.1,17453.76
BMH,gutenberg,64,42594.8,4081.46
BMH,gutenberg,128,31210.5,4267.84
BMH,pizza,8,17863744.0,1241819.49
BMH,pizza,16,12076590.55,1990750.5
BMH,pizza,32,7789229.0,1125176.57
BMH,pizza,64,5532160.55,849497.61
BMH,pizza,128,4248506.1,693748.19
FBAS,dante,8,99888.8,7213.0
FBAS,dante,16,60103.55,4136.59
FBAS,dante,32,38780.85,2842.52
FBAS,dante,64,27807.0,2263.86
FBAS,gutenberg,8,130455.65,9233.26
FBAS,gutenberg,16,78498.9,6471.5
FBAS,gutenberg,32,54489.3,8314.96
FBAS,gutenberg,64,38491.1,3735.36
FBAS,gutenberg,128,29334.65,3538.43
FBAS,pizza,8,17011206.9,1164705.78
FBAS,pizza,16,10559398.1,1065288.7
FBAS,pizza,32,7046568.0,703859.48
FBAS,pizza,64,5058574.35,472754.58
FBAS,pizza,128,3836554.55,414266.61
HC,dante,8,132.65,344.99
HC,dante,16,18.4,5.72
HC,dante,32,33.6,6.98
HC,dante,64,64.0,0.0
HC,gutenberg,8,38.05,62.15
HC,gutenberg,16,200.55,789.81
HC,gutenberg,32,2301.4,9900.34
HC,gutenberg,64,64.0,0.0
HC,gutenberg,128,128.0,0.0
HC,pizza,8,6988.2,9892.28
HC,pizza,16,143.25,303.84
HC,pizza,32,94.4,170.52
HC,pizza,64,105.6,58.27
HC,pizza,128,1440.5,5373.64
