pattern,length,our_bmh,our_fbas,our_improvement_pct,paper_bmh,paper_fbas,paper_improvement_pct,bmh_diff_pct,fbas_diff_pct
"inferno",7,2724,2538,6.82819,2260,2247,0.58,20.531,12.9506
"paradiso",8,31771,31219,1.73743,30357,29711,2.13,4.6579,5.07556
"purgatorio",10,31557,30626,2.95022,30211,28711,4.97,4.45533,6.66992
"beatrice",8,99314,92273,7.08963,92715,86111,7.12,7.11751,7.15588
"dante",5,141221,134460,4.78753,135666,129119,4.83,4.09461,4.13649
"virtute",7,1125,1083,3.73333,717,699,2.51,56.9038,54.9356
"canoscenza",10,19431,18171,6.48448,18400,17175,6.66,5.60326,5.79913
"nel mezzo",9,6715,6267,6.67163,6243,5815,6.86,7.56047,7.773
"selva oscura",12,275,270,1.81818,29,27,6.9,848.276,900
"amor",4,1147,1142,0.43592,460,449,2.39,149.348,154.343
"luce",4,3565,3483,2.30014,2802,2723,2.82,27.2305,27.9104
"dolce",5,949,932,1.79136,415,407,1.93,128.675,128.993
