corpus,length,selected_hc,mean_runtime_ms
dante,8,HC_q3a12,0.34861949999999997
dante,16,HC_q3a11,0.16408433333333333
dante,32,HC_q3a11,0.10126616666666667
dante,64,HC_q3a11,0.06205016666666667
gutenberg,8,HC_q3a12,0.46038416666666665
gutenberg,16,HC_q3a11,0.21522583333333334
gutenberg,32,HC_q3a11,0.12863416666666666
gutenberg,64,HC_q3a12,0.07964733333333333
gutenberg,128,HC_q3a11,0.05377783333333333
pizza,8,HC_q3a12,130.53354066666668
pizza,16,HC_q3a12,59.4956355
pizza,32,HC_q3a12,30.434492166666665
pizza,64,HC_q3a12,16.965544166666664
pizza,128,HC_q3a12,15.458210333333334
