algorithm,corpus,pattern,length,rarity_bucket,comparisons,runtime_ms,preprocess_ms,matches_found,run_id
BMH,dante,"inferno",7,paper_fixed,107073,0.5265,0.0006,15,1
BMH,dante,"inferno",7,paper_fixed,107073,0.5356,0.0006,15,2
BMH,dante,"inferno",7,paper_fixed,107073,0.6264,0.0006,15,3
BMH,dante,"inferno",7,paper_fixed,107073,0.6385,0.0006,15,4
BMH,dante,"inferno",7,paper_fixed,107073,0.5976,0.0006,15,5
BMH,dante,"inferno",7,paper_fixed,107073,0.5782,0.0006,15,6
BMH,dante,"inferno",7,paper_fixed,107073,0.5641,0.0006,15,7
BMH,dante,"inferno",7,paper_fixed,107073,0.571,0.0006,15,8
BMH,dante,"inferno",7,paper_fixed,107073,0.5697,0.0006,15,9
BMH,dante,"inferno",7,paper_fixed,107073,0.5668,0.0006,15,10
BMH,dante,"inferno",7,paper_fixed,107073,0.5695,0.0006,15,11
BMH,dante,"inferno",7,paper_fixed,107073,0.566,0.0006,15,12
BMH,dante,"inferno",7,paper_fixed,107073,0.6175,0.0006,15,13
BMH,dante,"inferno",7,paper_fixed,107073,0.5862,0.0006,15,14
BMH,dante,"inferno",7,paper_fixed,107073,0.5701,0.0006,15,15
BMH,dante,"inferno",7,paper_fixed,107073,0.5638,0.0006,15,16
BMH,dante,"inferno",7,paper_fixed,107073,0.5651,0.0006,15,17
BMH,dante,"inferno",7,paper_fixed,107073,0.5765,0.0006,15,18
BMH,dante,"inferno",7,paper_fixed,107073,0.5746,0.0006,15,19
BMH,dante,"inferno",7,paper_fixed,107073,0.5665,0.0006,15,20
BMH,dante,"inferno",7,paper_fixed,107073,0.6199,0.0006,15,21
BMH,dante,"inferno",7,paper_fixed,107073,0.5708,0.0006,15,22
BMH,dante,"inferno",7,paper_fixed,107073,0.5648,0.0006,15,23
BMH,dante,"inferno",7,paper_fixed,107073,0.5681,0.0006,15,24
BMH,dante,"inferno",7,paper_fixed,107073,0.6886,0.0006,15,25
BMH,dante,"inferno",7,paper_fixed,107073,0.8615,0.0006,15,26
BMH,dante,"inferno",7,paper_fixed,107073,0.8106,0.0006,15,27
BMH,dante,"inferno",7,paper_fixed,107073,0.7486,0.0006,15,28
BMH,dante,"inferno",7,paper_fixed,107073,0.6484,0.0006,15,29
BMH,dante,"inferno",7,paper_fixed,107073,0.7228,0.0006,15,30
BMH,dante,"paradiso",8,paper_fixed,95445,0.5223,0.0008,13,1
BMH,dante,"paradiso",8,paper_fixed,95445,0.5465,0.0008,13,2
BMH,dante,"paradiso",8,paper_fixed,95445,0.4558,0.0008,13,3
BMH,dante,"paradiso",8,paper_fixed,95445,0.5473,0.0008,13,4
BMH,dante,"paradiso",8,paper_fixed,95445,0.5161,0.0008,13,5
BMH,dante,"paradiso",8,paper_fixed,95445,0.5132,0.0008,13,6
BMH,dante,"paradiso",8,paper_fixed,95445,0.5246,0.0008,13,7
BMH,dante,"paradiso",8,paper_fixed,95445,0.5116,0.0008,13,8
BMH,dante,"paradiso",8,paper_fixed,95445,0.5156,0.0008,13,9
BMH,dante,"paradiso",8,paper_fixed,95445,0.5103,0.0008,13,10
BMH,dante,"paradiso",8,paper_fixed,95445,0.5148,0.0008,13,11
BMH,dante,"paradiso",8,paper_fixed,95445,0.5042,0.0008,13,12
BMH,dante,"paradiso",8,paper_fixed,95445,0.491,0.0008,13,13
BMH,dante,"paradiso",8,paper_fixed,95445,0.4906,0.0008,13,14
BMH,dante,"paradiso",8,paper_fixed,95445,0.4962,0.0008,13,15
BMH,dante,"paradiso",8,paper_fixed,95445,0.4995,0.0008,13,16
BMH,dante,"paradiso",8,paper_fixed,95445,0.5173,0.0008,13,17
BMH,dante,"paradiso",8,paper_fixed,95445,0.5343,0.0008,13,18
BMH,dante,"paradiso",8,paper_fixed,95445,0.5225,0.0008,13,19
BMH,dante,"paradiso",8,paper_fixed,95445,0.5724,0.0008,13,20
BMH,dante,"paradiso",8,paper_fixed,95445,0.4743,0.0008,13,21
BMH,dante,"paradiso",8,paper_fixed,95445,0.4771,0.0008,13,22
BMH,dante,"paradiso",8,paper_fixed,95445,0.6921,0.0008,13,23
