algorithm,corpus,length,mean_ms,std_ms,runs
BMH,dante,4,0.99523,0.05864,60
BMH,dante,5,0.86471,0.06904,60
BMH,dante,7,0.57803,0.02546,60
BMH,dante,8,0.61887,0.15445,630
BMH,dante,9,0.49251,0.0503,30
BMH,dante,10,0.44365,0.03358,60
BMH,dante,12,0.48296,0.00693,30
BMH,dante,16,0.35684,0.0685,600
BMH,dante,32,0.22492,0.047,600
BMH,dante,64,0.1595,0.0299,600
BMH,gutenberg,8,1.32473,0.20832,600
BMH,gutenberg,16,0.86368,0.17519,600
BMH,gutenberg,32,0.58046,0.10968,600
BMH,gutenberg,64,0.43562,0.05757,600
BMH,gutenberg,128,0.3116,0.05634,600
BMH,pizza,8,173.27371,27.50962,600
BMH,pizza,16,132.93573,31.19811,600
BMH,pizza,32,84.05407,18.8983,600
BMH,pizza,64,59.74191,13.68851,600
BMH,pizza,128,50.29849,10.4166,600
FBAS,dante,4,0.79527,0.05939,60
FBAS,dante,5,0.67184,0.05944,60
FBAS,dante,7,0.45158,0.01784,60
FBAS,dante,8,0.46791,0.05252,630
FBAS,dante,9,0.3578,0.0127,30
FBAS,dante,10,0.35091,0.02893,60
FBAS,dante,12,0.33167,0.00598,30
FBAS,dante,16,0.27343,0.03099,600
FBAS,dante,32,0.1793,0.02725,600
FBAS,dante,64,0.14969,0.02343,600
FBAS,gutenberg,8,1.1302,0.11918,600
FBAS,gutenberg,16,0.67442,0.07623,600
FBAS,gutenberg,32,0.45006,0.05591,600
FBAS,gutenberg,64,0.32066,0.04155,600
FBAS,gutenberg,128,0.25338,0.03841,600
FBAS,pizza,8,114.72968,36.1409,600
FBAS,pizza,16,49.51578,5.76023,600
FBAS,pizza,32,33.37439,3.39136,600
FBAS,pizza,64,26.55859,1.89452,600
FBAS,pizza,128,23.18938,1.36464,600
HC,dante,4,0.90875,0.16379,60
HC,dante,5,0.53978,0.05254,60
HC,dante,7,0.32086,0.01842,60
HC,dante,8,0.30753,0.05805,630
HC,dante,9,0.2385,0.02941,30
HC,dante,10,0.2113,0.03968,60
HC,dante,12,0.16969,0.01852,30
HC,dante,16,0.1485,0.02992,600
HC,dante,32,0.09856,0.02932,600
HC,dante,64,0.05216,0.01161,600
HC,gutenberg,8,0.9263,0.36691,600
HC,gutenberg,16,0.44266,0.17822,600
HC,gutenberg,32,0.24093,0.10512,600
HC,gutenberg,64,0.13796,0.04953,600
HC,gutenberg,128,0.08509,0.03083,600
HC,pizza,8,56.19489,6.59259,600
HC,pizza,16,30.1822,4.27314,600
HC,pizza,32,20.58971,2.27036,600
HC,pizza,64,17.13406,1.18908,600
HC,pizza,128,15.22576,0.87025,600
